"social_network","usage","value","max","share"
"","Рішення.регуляторних.актів.міськради",1,1,100
"","Рішення.регуляторних.актів.міськради",1,1,100
"","Рішення.регуляторних.актів.міськради",0.5,1,50
"","Рішення.регуляторних.актів.міськради",0,1,0
"","Рішення.регуляторних.актів.міськради",1,1,100
"","Рішення.регуляторних.актів.міськради",1,1,100
"","Рішення.регуляторних.актів.міськради",1,1,100
"","Рішення.регуляторних.актів.міськради",0,1,0
"","Рішення.регуляторних.актів.міськради",1,1,100
"","Рішення.регуляторних.актів.міськради",0,1,0
"","Рішення.регуляторних.актів.міськради",1,1,100
"","Рішення.регуляторних.актів.міськради",0,1,0
"","Рішення.регуляторних.актів.міськради",1,1,100
"","Рішення.регуляторних.актів.міськради",0.5,1,50
"","Рішення.регуляторних.актів.міськради",1,1,100
"","Рішення.регуляторних.актів.міськради",1,1,100
"","Рішення.регуляторних.актів.міськради",1,1,100
"","Рішення.регуляторних.актів.міськради",1,1,100
"","Рішення.регуляторних.актів.міськради",0,1,0
"","Рішення.регуляторних.актів.міськради",0,1,0
"","Рішення.регуляторних.актів.міськради",1,1,100
"","Рішення.регуляторних.актів.міськради",1,1,100
"","Рішення.регуляторних.актів.міськради",1,1,100
"","Рішення.регуляторних.актів.міськради",0,1,0
"","Рішення.регуляторних.актів.міськради",1,1,100
"","Рішення.регуляторних.актів.міськради",0,1,0
"","Рішення.регуляторних.актів.міськради",0.5,1,50
"","Рішення.регуляторних.актів.міськради",1,1,100
"","Рішення.регуляторних.актів.міськради",1,1,100
"","Рішення.регуляторних.актів.міськради",0.5,1,50
"","Рішення.регуляторних.актів.міськради",0,1,0
"","Рішення.регуляторних.актів.міськради",1,1,100
"","Рішення.регуляторних.актів.міськради",0,1,0
"","Рішення.регуляторних.актів.міськради",0,1,0
"","Рішення.регуляторних.актів.міськради",1,1,100
"","Рішення.регуляторних.актів.міськради",1,1,100
"","Рішення.регуляторних.актів.міськради",1,1,100
"","Рішення.регуляторних.актів.міськради",0.5,1,50
"","Рішення.регуляторних.актів.міськради",1,1,100
"","Рішення.регуляторних.актів.міськради",0,1,0
"","Рішення.регуляторних.актів.міськради",1,1,100
"","Рішення.регуляторних.актів.міськради",0,1,0
"","Рішення.регуляторних.актів.міськради",0,1,0
"","Рішення.регуляторних.актів.міськради",1,1,100
"","Рішення.регуляторних.актів.міськради",1,1,100
"","Рішення.регуляторних.актів.міськради",1,1,100
"","Рішення.регуляторних.актів.міськради",1,1,100
"","Рішення.регуляторних.актів.міськради",1,1,100
"","Рішення.регуляторних.актів.міськради",0,1,0
"","Рішення.регуляторних.актів.міськради",0.5,1,50
"","Рішення.регуляторних.актів.міськради",0,1,0
"","Рішення.регуляторних.актів.міськради",1,1,100
"","Рішення.регуляторних.актів.міськради",0,1,0
"","Рішення.регуляторних.актів.міськради",0,1,0
"","Рішення.регуляторних.актів.міськради",1,1,100
"","Рішення.регуляторних.актів.міськради",0,1,0
"","Рішення.регуляторних.актів.міськради",0.5,1,50
"","Рішення.регуляторних.актів.міськради",0.5,1,50
"","Рішення.регуляторних.актів.міськради",0,1,0
"","Рішення.регуляторних.актів.міськради",1,1,100
"","Рішення.регуляторних.актів.міськради",0,1,0
"","Рішення.регуляторних.актів.міськради",0,1,0
"","Рішення.регуляторних.актів.міськради",0,1,0
"","Рішення.регуляторних.актів.міськради",0,1,0
"","Рішення.регуляторних.актів.міськради",0,1,0
"","Рішення.регуляторних.актів.міськради",1,1,100
"","Рішення.регуляторних.актів.міськради",0,1,0
"","Рішення.регуляторних.актів.міськради",0,1,0
"","Рішення.регуляторних.актів.міськради",0,1,0
"","Рішення.регуляторних.актів.міськради",0,1,0
"","Рішення.регуляторних.актів.міськради",0,1,0
"","Рішення.регуляторних.актів.міськради",0,1,0
"","Рішення.регуляторних.актів.міськради",0,1,0
"","Рішення.регуляторних.актів.міськради",0,1,0
"","Рішення.регуляторних.актів.міськради",0.5,1,50
"","Рішення.регуляторних.актів.міськради",0,1,0
"","Рішення.регуляторних.актів.міськради",0,1,0
"","Рішення.регуляторних.актів.міськради",0,1,0
"","Рішення.регуляторних.актів.міськради",0,1,0
"","Рішення.регуляторних.актів.міськради",0,1,0
"","Рішення.регуляторних.актів.міськради",0,1,0
"","Рішення.регуляторних.актів.міськради",0,1,0
"","Рішення.регуляторних.актів.виконкому",1,1,100
"","Рішення.регуляторних.актів.виконкому",1,1,100
"","Рішення.регуляторних.актів.виконкому",0,1,0
"","Рішення.регуляторних.актів.виконкому",1,1,100
"","Рішення.регуляторних.актів.виконкому",1,1,100
"","Рішення.регуляторних.актів.виконкому",1,1,100
"","Рішення.регуляторних.актів.виконкому",1,1,100
"","Рішення.регуляторних.актів.виконкому",1,1,100
"","Рішення.регуляторних.актів.виконкому",1,1,100
"","Рішення.регуляторних.актів.виконкому",1,1,100
"","Рішення.регуляторних.актів.виконкому",1,1,100
"","Рішення.регуляторних.актів.виконкому",1,1,100
"","Рішення.регуляторних.актів.виконкому",1,1,100
"","Рішення.регуляторних.актів.виконкому",0.5,1,50
"","Рішення.регуляторних.актів.виконкому",1,1,100
"","Рішення.регуляторних.актів.виконкому",1,1,100
"","Рішення.регуляторних.актів.виконкому",0,1,0
"","Рішення.регуляторних.актів.виконкому",1,1,100
"","Рішення.регуляторних.актів.виконкому",0,1,0
"","Рішення.регуляторних.актів.виконкому",1,1,100
"","Рішення.регуляторних.актів.виконкому",0.5,1,50
"","Рішення.регуляторних.актів.виконкому",0,1,0
"","Рішення.регуляторних.актів.виконкому",1,1,100
"","Рішення.регуляторних.актів.виконкому",1,1,100
"","Рішення.регуляторних.актів.виконкому",1,1,100
"","Рішення.регуляторних.актів.виконкому",0,1,0
"","Рішення.регуляторних.актів.виконкому",1,1,100
"","Рішення.регуляторних.актів.виконкому",0,1,0
"","Рішення.регуляторних.актів.виконкому",1,1,100
"","Рішення.регуляторних.актів.виконкому",0,1,0
"","Рішення.регуляторних.актів.виконкому",1,1,100
"","Рішення.регуляторних.актів.виконкому",1,1,100
"","Рішення.регуляторних.актів.виконкому",1,1,100
"","Рішення.регуляторних.актів.виконкому",1,1,100
"","Рішення.регуляторних.актів.виконкому",1,1,100
"","Рішення.регуляторних.актів.виконкому",1,1,100
"","Рішення.регуляторних.актів.виконкому",0,1,0
"","Рішення.регуляторних.актів.виконкому",0,1,0
"","Рішення.регуляторних.актів.виконкому",1,1,100
"","Рішення.регуляторних.актів.виконкому",1,1,100
"","Рішення.регуляторних.актів.виконкому",1,1,100
"","Рішення.регуляторних.актів.виконкому",0,1,0
"","Рішення.регуляторних.актів.виконкому",1,1,100
"","Рішення.регуляторних.актів.виконкому",0,1,0
"","Рішення.регуляторних.актів.виконкому",0.5,1,50
"","Рішення.регуляторних.актів.виконкому",1,1,100
"","Рішення.регуляторних.актів.виконкому",1,1,100
"","Рішення.регуляторних.актів.виконкому",0.5,1,50
"","Рішення.регуляторних.актів.виконкому",1,1,100
"","Рішення.регуляторних.актів.виконкому",1,1,100
"","Рішення.регуляторних.актів.виконкому",0,1,0
"","Рішення.регуляторних.актів.виконкому",0,1,0
"","Рішення.регуляторних.актів.виконкому",1,1,100
"","Рішення.регуляторних.актів.виконкому",1,1,100
"","Рішення.регуляторних.актів.виконкому",1,1,100
"","Рішення.регуляторних.актів.виконкому",0.5,1,50
"","Рішення.регуляторних.актів.виконкому",1,1,100
"","Рішення.регуляторних.актів.виконкому",0,1,0
"","Рішення.регуляторних.актів.виконкому",1,1,100
"","Рішення.регуляторних.актів.виконкому",0,1,0
"","Рішення.регуляторних.актів.виконкому",0,1,0
"","Рішення.регуляторних.актів.виконкому",1,1,100
"","Рішення.регуляторних.актів.виконкому",1,1,100
"","Рішення.регуляторних.актів.виконкому",1,1,100
"","Рішення.регуляторних.актів.виконкому",1,1,100
"","Рішення.регуляторних.актів.виконкому",1,1,100
"","Рішення.регуляторних.актів.виконкому",0,1,0
"","Рішення.регуляторних.актів.виконкому",1,1,100
"","Рішення.регуляторних.актів.виконкому",0,1,0
"","Рішення.регуляторних.актів.виконкому",1,1,100
"","Рішення.регуляторних.актів.виконкому",0,1,0
"","Рішення.регуляторних.актів.виконкому",0,1,0
"","Рішення.регуляторних.актів.виконкому",1,1,100
"","Рішення.регуляторних.актів.виконкому",1,1,100
"","Рішення.регуляторних.актів.виконкому",0.5,1,50
"","Рішення.регуляторних.актів.виконкому",0.5,1,50
"","Рішення.регуляторних.актів.виконкому",0,1,0
"","Рішення.регуляторних.актів.виконкому",1,1,100
"","Рішення.регуляторних.актів.виконкому",0,1,0
"","Рішення.регуляторних.актів.виконкому",0,1,0
"","Рішення.регуляторних.актів.виконкому",0,1,0
"","Рішення.регуляторних.актів.виконкому",0,1,0
"","Рішення.регуляторних.актів.виконкому",0,1,0
"","Рішення.регуляторних.актів.виконкому",1,1,100
"","Рішення.регуляторних.актів.виконкому",0,1,0
"","Рішення.регуляторних.актів.виконкому",0,1,0
"","Рішення.регуляторних.актів.виконкому",0,1,0
"","Рішення.регуляторних.актів.виконкому",0,1,0
"","Рішення.регуляторних.актів.виконкому",0,1,0
"","Рішення.регуляторних.актів.виконкому",0,1,0
"","Рішення.регуляторних.актів.виконкому",0,1,0
"","Рішення.регуляторних.актів.виконкому",0,1,0
"","Рішення.регуляторних.актів.виконкому",0,1,0
"","Рішення.регуляторних.актів.виконкому",0,1,0
"","Рішення.регуляторних.актів.виконкому",0,1,0
"","Рішення.регуляторних.актів.виконкому",0,1,0
"","Рішення.регуляторних.актів.виконкому",0,1,0
"","Рішення.регуляторних.актів.виконкому",0,1,0
"","Рішення.регуляторних.актів.виконкому",0,1,0
"","Рішення.регуляторних.актів.виконкому",0,1,0
"","Діючі.регуляторні.акти.на.сайті.ОМС",1,1,100
"","Діючі.регуляторні.акти.на.сайті.ОМС",1,1,100
"","Діючі.регуляторні.акти.на.сайті.ОМС",1,1,100
"","Діючі.регуляторні.акти.на.сайті.ОМС",0,1,0
"","Діючі.регуляторні.акти.на.сайті.ОМС",1,1,100
"","Діючі.регуляторні.акти.на.сайті.ОМС",1,1,100
"","Діючі.регуляторні.акти.на.сайті.ОМС",1,1,100
"","Діючі.регуляторні.акти.на.сайті.ОМС",1,1,100
"","Діючі.регуляторні.акти.на.сайті.ОМС",1,1,100
"","Діючі.регуляторні.акти.на.сайті.ОМС",1,1,100
"","Діючі.регуляторні.акти.на.сайті.ОМС",1,1,100
"","Діючі.регуляторні.акти.на.сайті.ОМС",1,1,100
"","Діючі.регуляторні.акти.на.сайті.ОМС",1,1,100
"","Діючі.регуляторні.акти.на.сайті.ОМС",1,1,100
"","Діючі.регуляторні.акти.на.сайті.ОМС",1,1,100
"","Діючі.регуляторні.акти.на.сайті.ОМС",0,1,0
"","Діючі.регуляторні.акти.на.сайті.ОМС",1,1,100
"","Діючі.регуляторні.акти.на.сайті.ОМС",0,1,0
"","Діючі.регуляторні.акти.на.сайті.ОМС",1,1,100
"","Діючі.регуляторні.акти.на.сайті.ОМС",1,1,100
"","Діючі.регуляторні.акти.на.сайті.ОМС",1,1,100
"","Діючі.регуляторні.акти.на.сайті.ОМС",1,1,100
"","Діючі.регуляторні.акти.на.сайті.ОМС",1,1,100
"","Діючі.регуляторні.акти.на.сайті.ОМС",1,1,100
"","Діючі.регуляторні.акти.на.сайті.ОМС",0,1,0
"","Діючі.регуляторні.акти.на.сайті.ОМС",1,1,100
"","Діючі.регуляторні.акти.на.сайті.ОМС",1,1,100
"","Діючі.регуляторні.акти.на.сайті.ОМС",1,1,100
"","Діючі.регуляторні.акти.на.сайті.ОМС",1,1,100
"","Діючі.регуляторні.акти.на.сайті.ОМС",0,1,0
"","Діючі.регуляторні.акти.на.сайті.ОМС",1,1,100
"","Діючі.регуляторні.акти.на.сайті.ОМС",1,1,100
"","Діючі.регуляторні.акти.на.сайті.ОМС",1,1,100
"","Діючі.регуляторні.акти.на.сайті.ОМС",0,1,0
"","Діючі.регуляторні.акти.на.сайті.ОМС",1,1,100
"","Діючі.регуляторні.акти.на.сайті.ОМС",1,1,100
"","Діючі.регуляторні.акти.на.сайті.ОМС",1,1,100
"","Діючі.регуляторні.акти.на.сайті.ОМС",1,1,100
"","Діючі.регуляторні.акти.на.сайті.ОМС",0,1,0
"","Діючі.регуляторні.акти.на.сайті.ОМС",1,1,100
"","Діючі.регуляторні.акти.на.сайті.ОМС",0,1,0
"","Діючі.регуляторні.акти.на.сайті.ОМС",0,1,0
"","Діючі.регуляторні.акти.на.сайті.ОМС",1,1,100
"","Діючі.регуляторні.акти.на.сайті.ОМС",1,1,100
"","Діючі.регуляторні.акти.на.сайті.ОМС",1,1,100
"","Діючі.регуляторні.акти.на.сайті.ОМС",1,1,100
"","Діючі.регуляторні.акти.на.сайті.ОМС",1,1,100
"","Діючі.регуляторні.акти.на.сайті.ОМС",1,1,100
"","Діючі.регуляторні.акти.на.сайті.ОМС",0,1,0
"","Діючі.регуляторні.акти.на.сайті.ОМС",0,1,0
"","Діючі.регуляторні.акти.на.сайті.ОМС",1,1,100
"","Діючі.регуляторні.акти.на.сайті.ОМС",1,1,100
"","Діючі.регуляторні.акти.на.сайті.ОМС",0,1,0
"","Діючі.регуляторні.акти.на.сайті.ОМС",1,1,100
"","Діючі.регуляторні.акти.на.сайті.ОМС",1,1,100
"","Діючі.регуляторні.акти.на.сайті.ОМС",1,1,100
"","Діючі.регуляторні.акти.на.сайті.ОМС",1,1,100
"","Діючі.регуляторні.акти.на.сайті.ОМС",1,1,100
"","Діючі.регуляторні.акти.на.сайті.ОМС",0,1,0
"","Діючі.регуляторні.акти.на.сайті.ОМС",1,1,100
"","Діючі.регуляторні.акти.на.сайті.ОМС",1,1,100
"","Діючі.регуляторні.акти.на.сайті.ОМС",1,1,100
"","Діючі.регуляторні.акти.на.сайті.ОМС",1,1,100
"","Діючі.регуляторні.акти.на.сайті.ОМС",0,1,0
"","Діючі.регуляторні.акти.на.сайті.ОМС",0,1,0
"","Діючі.регуляторні.акти.на.сайті.ОМС",1,1,100
"","Діючі.регуляторні.акти.на.сайті.ОМС",1,1,100
"","Діючі.регуляторні.акти.на.сайті.ОМС",1,1,100
"","Діючі.регуляторні.акти.на.сайті.ОМС",0,1,0
"","Діючі.регуляторні.акти.на.сайті.ОМС",1,1,100
"","Діючі.регуляторні.акти.на.сайті.ОМС",0,1,0
"","Діючі.регуляторні.акти.на.сайті.ОМС",1,1,100
"","Діючі.регуляторні.акти.на.сайті.ОМС",0,1,0
"","Діючі.регуляторні.акти.на.сайті.ОМС",1,1,100
"","Діючі.регуляторні.акти.на.сайті.ОМС",1,1,100
"","Діючі.регуляторні.акти.на.сайті.ОМС",1,1,100
"","Діючі.регуляторні.акти.на.сайті.ОМС",1,1,100
"","Діючі.регуляторні.акти.на.сайті.ОМС",0,1,0
"","Діючі.регуляторні.акти.на.сайті.ОМС",0,1,0
"","Діючі.регуляторні.акти.на.сайті.ОМС",0,1,0
"","Діючі.регуляторні.акти.на.сайті.ОМС",0,1,0
"","Діючі.регуляторні.акти.на.сайті.ОМС",1,1,100
"","Діючі.регуляторні.акти.на.сайті.ОМС",0,1,0
"","Діючі.регуляторні.акти.на.сайті.ОМС",0,1,0
"","Діючі.регуляторні.акти.на.сайті.ОМС",1,1,100
"","Діючі.регуляторні.акти.на.сайті.ОМС",0,1,0
"","Діючі.регуляторні.акти.на.сайті.ОМС",1,1,100
"","Діючі.регуляторні.акти.на.сайті.ОМС",1,1,100
"","Діючі.регуляторні.акти.на.сайті.ОМС",1,1,100
"","Діючі.регуляторні.акти.на.сайті.ОМС",0,1,0
"","Діючі.регуляторні.акти.на.сайті.ОМС",0,1,0
"","Діючі.регуляторні.акти.на.сайті.ОМС",0,1,0
"","Діючі.регуляторні.акти.на.сайті.ОМС",0,1,0
"","Діючі.регуляторні.акти.на.сайті.ОМС",0,1,0
"","Діючі.регуляторні.акти.на.сайті.ОМС",0,1,0
"","Діючі.регуляторні.акти.на.сайті.ОМС",0,1,0
"","Діючі.регуляторні.акти.на.сайті.ОМС",0,1,0
"","Діючі.регуляторні.акти.на.сайті.ОМС",0,1,0
"","Діючі.регуляторні.акти.на.сайті.ОМС",0,1,0
"","Діючі.регуляторні.акти.на.сайті.ОМС",0,1,0
"","Діючі.регуляторні.акти.на.data.gov.ua",0,1,0
"","Діючі.регуляторні.акти.на.data.gov.ua",0,1,0
"","Діючі.регуляторні.акти.на.data.gov.ua",1,1,100
"","Діючі.регуляторні.акти.на.data.gov.ua",0,1,0
"","Діючі.регуляторні.акти.на.data.gov.ua",0,1,0
"","Діючі.регуляторні.акти.на.data.gov.ua",0,1,0
"","Діючі.регуляторні.акти.на.data.gov.ua",1,1,100
"","Діючі.регуляторні.акти.на.data.gov.ua",1,1,100
"","Діючі.регуляторні.акти.на.data.gov.ua",0,1,0
"","Діючі.регуляторні.акти.на.data.gov.ua",0,1,0
"","Діючі.регуляторні.акти.на.data.gov.ua",0,1,0
"","Діючі.регуляторні.акти.на.data.gov.ua",0,1,0
"","Діючі.регуляторні.акти.на.data.gov.ua",0,1,0
"","Діючі.регуляторні.акти.на.data.gov.ua",0,1,0
"","Діючі.регуляторні.акти.на.data.gov.ua",0,1,0
"","Діючі.регуляторні.акти.на.data.gov.ua",0,1,0
"","Діючі.регуляторні.акти.на.data.gov.ua",0,1,0
"","Діючі.регуляторні.акти.на.data.gov.ua",1,1,100
"","Діючі.регуляторні.акти.на.data.gov.ua",1,1,100
"","Діючі.регуляторні.акти.на.data.gov.ua",0,1,0
"","Діючі.регуляторні.акти.на.data.gov.ua",1,1,100
"","Діючі.регуляторні.акти.на.data.gov.ua",0,1,0
"","Діючі.регуляторні.акти.на.data.gov.ua",1,1,100
"","Діючі.регуляторні.акти.на.data.gov.ua",1,1,100
"","Діючі.регуляторні.акти.на.data.gov.ua",1,1,100
"","Діючі.регуляторні.акти.на.data.gov.ua",0,1,0
"","Діючі.регуляторні.акти.на.data.gov.ua",0,1,0
"","Діючі.регуляторні.акти.на.data.gov.ua",0,1,0
"","Діючі.регуляторні.акти.на.data.gov.ua",1,1,100
"","Діючі.регуляторні.акти.на.data.gov.ua",0,1,0
"","Діючі.регуляторні.акти.на.data.gov.ua",0,1,0
"","Діючі.регуляторні.акти.на.data.gov.ua",1,1,100
"","Діючі.регуляторні.акти.на.data.gov.ua",0,1,0
"","Діючі.регуляторні.акти.на.data.gov.ua",0,1,0
"","Діючі.регуляторні.акти.на.data.gov.ua",0,1,0
"","Діючі.регуляторні.акти.на.data.gov.ua",0,1,0
"","Діючі.регуляторні.акти.на.data.gov.ua",0,1,0
"","Діючі.регуляторні.акти.на.data.gov.ua",0,1,0
"","Діючі.регуляторні.акти.на.data.gov.ua",0,1,0
"","Діючі.регуляторні.акти.на.data.gov.ua",0,1,0
"","Діючі.регуляторні.акти.на.data.gov.ua",0,1,0
"","Діючі.регуляторні.акти.на.data.gov.ua",0,1,0
"","Діючі.регуляторні.акти.на.data.gov.ua",0,1,0
"","Діючі.регуляторні.акти.на.data.gov.ua",0,1,0
"","Діючі.регуляторні.акти.на.data.gov.ua",0,1,0
"","Діючі.регуляторні.акти.на.data.gov.ua",1,1,100
"","Діючі.регуляторні.акти.на.data.gov.ua",1,1,100
"","Діючі.регуляторні.акти.на.data.gov.ua",0,1,0
"","Діючі.регуляторні.акти.на.data.gov.ua",0,1,0
"","Діючі.регуляторні.акти.на.data.gov.ua",0,1,0
"","Діючі.регуляторні.акти.на.data.gov.ua",0,1,0
"","Діючі.регуляторні.акти.на.data.gov.ua",0,1,0
"","Діючі.регуляторні.акти.на.data.gov.ua",0,1,0
"","Діючі.регуляторні.акти.на.data.gov.ua",0,1,0
"","Діючі.регуляторні.акти.на.data.gov.ua",0,1,0
"","Діючі.регуляторні.акти.на.data.gov.ua",0,1,0
"","Діючі.регуляторні.акти.на.data.gov.ua",0,1,0
"","Діючі.регуляторні.акти.на.data.gov.ua",0,1,0
"","Діючі.регуляторні.акти.на.data.gov.ua",0,1,0
"","Діючі.регуляторні.акти.на.data.gov.ua",0,1,0
"","Діючі.регуляторні.акти.на.data.gov.ua",0,1,0
"","Діючі.регуляторні.акти.на.data.gov.ua",0,1,0
"","Діючі.регуляторні.акти.на.data.gov.ua",0,1,0
"","Діючі.регуляторні.акти.на.data.gov.ua",0,1,0
"","Діючі.регуляторні.акти.на.data.gov.ua",0,1,0
"","Діючі.регуляторні.акти.на.data.gov.ua",0,1,0
"","Діючі.регуляторні.акти.на.data.gov.ua",0,1,0
"","Діючі.регуляторні.акти.на.data.gov.ua",0,1,0
"","Діючі.регуляторні.акти.на.data.gov.ua",0,1,0
"","Діючі.регуляторні.акти.на.data.gov.ua",0,1,0
"","Діючі.регуляторні.акти.на.data.gov.ua",0,1,0
