"social_network","usage","value","max","share"
"Житомир","Публічні обговорення регуляторних актів",3,3,100
"Калуш","Публічні обговорення регуляторних актів",3,3,100
"Луцьк","Публічні обговорення регуляторних актів",0,3,0
"Нікополь","Публічні обговорення регуляторних актів",0,3,0
"Ужгород","Публічні обговорення регуляторних актів",0,3,0
"Бахмут","Публічні обговорення регуляторних актів",1,3,33
"Дніпро","Публічні обговорення регуляторних актів",2,3,67
"Енергодар","Публічні обговорення регуляторних актів",1,3,33
"Кропивницький","Публічні обговорення регуляторних актів",0,3,0
"Чернігів","Публічні обговорення регуляторних актів",0,3,0
"Ромни","Публічні обговорення регуляторних актів",0,3,0
"Бориспіль","Публічні обговорення регуляторних актів",0,3,0
"Миргород","Публічні обговорення регуляторних актів",0,3,0
"Маріуполь","Публічні обговорення регуляторних актів",0,3,0
"Первомайськ","Публічні обговорення регуляторних актів",0,3,0
"Кам'янець-Подільський","Публічні обговорення регуляторних актів",1,3,33
"Ковель","Публічні обговорення регуляторних актів",1,3,33
"Олександрія","Публічні обговорення регуляторних актів",0,3,0
"Ніжин","Публічні обговорення регуляторних актів",0,3,0
"Лубни","Публічні обговорення регуляторних актів",0,3,0
"Охтирка","Публічні обговорення регуляторних актів",2,3,67
"Хмельницький","Публічні обговорення регуляторних актів",0,3,0
"Бровари","Публічні обговорення регуляторних актів",1,3,33
"Жмеринка","Публічні обговорення регуляторних актів",1,3,33
"Миколаїв","Публічні обговорення регуляторних актів",0,3,0
"Лисичанськ","Публічні обговорення регуляторних актів",1,3,33
"Слов'янськ","Публічні обговорення регуляторних актів",0,3,0
"Білгород Дністровський","Публічні обговорення регуляторних актів",1,3,33
"Дубно","Публічні обговорення регуляторних актів",0,3,0
"Мелітополь","Публічні обговорення регуляторних актів",0,3,0
"Шепетівка","Публічні обговорення регуляторних актів",2,3,67
"Чернівці","Публічні обговорення регуляторних актів",0,3,0
"Херсон","Публічні обговорення регуляторних актів",1,3,33
"Лиман","Публічні обговорення регуляторних актів",0,3,0
"Лозова","Публічні обговорення регуляторних актів",0,3,0
"Каховка","Публічні обговорення регуляторних актів",0,3,0
"Мукачево","Публічні обговорення регуляторних актів",0,3,0
"Кременчук","Публічні обговорення регуляторних актів",0,3,0
"Южноукраїнськ","Публічні обговорення регуляторних актів",0,3,0
"Покров","Публічні обговорення регуляторних актів",0,3,0
"Рубіжне","Публічні обговорення регуляторних актів",0,3,0
"Фастів","Публічні обговорення регуляторних актів",0,3,0
"Сміла","Публічні обговорення регуляторних актів",0,3,0
"Світловодськ","Публічні обговорення регуляторних актів",0,3,0
"Нетішин","Публічні обговорення регуляторних актів",0,3,0
"Подільськ","Публічні обговорення регуляторних актів",0,3,0
"Горішні Плавні","Публічні обговорення регуляторних актів",0,3,0
"Ірпінь","Публічні обговорення регуляторних актів",0,3,0
"Червоноград","Публічні обговорення регуляторних актів",0,3,0
"Чорноморськ","Публічні обговорення регуляторних актів",0,3,0
"Харків","Публічні обговорення регуляторних актів",0,3,0
"Бердичів","Публічні обговорення регуляторних актів",1,3,33
"Славута","Публічні обговорення регуляторних актів",0,3,0
